term,definition,source,url_source
CAPSSA,Caisse de prévoyance des agents de la Sécurité Sociale,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAPT,Centre Anti-Poisons et de Toxicovigilance,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAR,Conférence administrative régionale,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAR,Contrat d'animation rurale,Sénat,https://www.senat.fr/histoire/sigles.html
CAS,Centre d’analyse stratégique,DGAFP,https://www.fonction-publique.gouv.fr/files/files/statistiques/rapports_annuels/2016/G_Liste_des_sigles.pdf
CAS,Circonscription d’Action Sociale,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CARIP,Cellule d'analyse des risques et d'information préventive,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CARPA,Caisse autonome des règlements pécuniaires des avocats,Sénat,https://www.senat.fr/histoire/sigles.html
CARSAT,Caisse d’assurance retraite et de la santé au travail (Nouveau nom des CRAM depuis juillet 2010),L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CASF,Code de l’action sociale et des familles,CNLES,https://www.cnle.gouv.fr/Sigles-de-l-Administration.html
CASU,Commission d’action sociale d’Urgence,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CASU,Conseiller d’Administration Scolaire et Universitaire,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CASNAV,Centre Académique pour la Scolarisation des Nouveaux Arrivants et des enfants du Voyage,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CASODOM,Comité d'action sociale en faveur des originaires des départements d'outre-mer en métropole,Sénat,https://www.senat.fr/histoire/sigles.html
CASS,Commission des Affaires Sanitaires et Sociales,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CASSPA,Centre d’animation de soins et services pour personnes agées,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CASTOR,Cellule d’Appui et de Soutien Technique aux Organismes du Réseau (CPAM),L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAT,Centre d'aide par le travail,Sénat,https://www.senat.fr/histoire/sigles.html
CAT,Confédération Autonome du Travail (syndicat),L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAUE,"Conseil d'architecture, d'urbanisme et de l'environnement",Sénat,https://www.senat.fr/histoire/sigles.html
CAUE,"Conseil d'architecture, d'urbanisme et de l'environnement.",M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CATNAT,Catastrophe naturelle.,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CATSA,Centre D’accueil Thérapeutique Spécifique à L’autisme,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CATTP,Centre d’Accueil Thérapeutique à Temps Partiel,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CCA,Cadre communautaire d’appui,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAV,Contrat d’avenir,DGAFP,https://www.fonction-publique.gouv.fr/files/files/statistiques/rapports_annuels/2016/G_Liste_des_sigles.pdf
CAVA,Centre d’adaptation à la vie active,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAVIMAC,Caisse D’assurance Vieillesse Invalidité Et Maladie Des Cultes,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CAVL,Conseil Académique de la Vie Lycéenne,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CB,"Comité de biovigilance.
Carte bleue.",M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CBC,Congé de bilan de compétences,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CBCM,Contrôleur Budgétaire et Comptable Ministériel,beta.gouv.fr,https://github.com/betagouv/glossary-bot
CBN,Conservatoire botanique national.,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CBP,Contrat de Bonnes Pratiques,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CBPA,Code de bonne pratique agricole.,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CBU,Contrat de Bon Usage,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CC,"Communauté de commune.
Carte communale. 
Conseil constitutionnel.",M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CCA,Certificat de capacité d’ambulancier,DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html
CCAG,Cahier des clauses administratives générales,DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html
CCAA,Centre de Cure Ambulatoire en Alcoologie,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CCAF,Commission communale d'aménagement foncier.,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CCAM,Classification commune des actes médicaux,DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html
CCAG Tx,Cahier des Clauses Administratives Générales applicables aux marchés publics de travaux CCAG Travaux,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm
CCAG-TIC,CCAG applicables aux Techniques de l’Information et de la Communication,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm
CCAGFCS,CCAG applicables aux marchés publics de Fournitures Courantes et de Services.,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm
CCAGMI,CCAG applicables aux Marchés publics Industriels,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm
CCAGPI,CCAG applicables aux marchés publics de prestations intellectuelles,marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm
CCAH,Comité national de coordination de l’action en faveur des personnes handicapées,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CCAMIP,"Commission de contrôle des assurances, des mutuelles et des institutions de prévoyance",Sénat,https://www.senat.fr/histoire/sigles.html
CCAP,Cahier des clauses administratives particulières,DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html
CCAS,Centre communal d'action sociale,Sénat,https://www.senat.fr/histoire/sigles.html
CCAPEX,Commission spécialisée de Coordination Des Actions De Prévention Des Expulsions Locatives,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/
CCI,Centre de création industrielle (Centre Pompidou),Sénat,https://www.senat.fr/histoire/sigles.html
CCI,Chambres de commerce et d'industrie,Sénat,https://www.senat.fr/histoire/sigles.html
CCATP,Cahiers des clauses administratives et techniques particulières.,M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
CCE,"Commission des communautés européennes.
Conseil des communes d'Europe.",M. Lefay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf
