id,term,definition,source,url_source,explanation,source_explanation,url_source_explanation,key
5386,TPZ,Taxe professionnelle de zone,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tpztaxeprofessionnelledezone
5384,TRACE,Programme du trajet d’accès à l’emploi,Sénat,https://www.senat.fr/histoire/sigles.html,,,,traceprogrammedutrajetdaccèsàlemploi
5389,TRACFIN,Traitement du renseignement et de l'action contre les circuits financiers clandestins,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tracfintraitementdurenseignementetdelactioncontrelescircuitsfinanciersclandestins
5390,TRC,Technicien de recherche clinique,DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html,,,,trctechnicienderechercheclinique
5391,TRDP,Territoires ruraux de développement prioritaire.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,trdpterritoiresrurauxdedéveloppementprioritaire
5392,TRE,Techniques de recherche d’emploi,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tretechniquesderecherchedemploi
5388,TS,Tentative de suicide,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tstentativedesuicide
5393,TS,Travailleur Social,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tstravailleursocial
5394,TSA,Tableau de Synthèse par Activité,DGOS,http://www.metiers-fonctionpubliquehospitaliere.sante.gouv.fr/Lexique-des-abreviations-ou-sigles.html,,,,tsatableaudesynthèseparactivité
5395,TSA,Travail social actualités,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,tsatravailsocialactualités
5396,TSA,Tribunal supérieur d’appel,Ministère de la Justice,http://www.justice.gouv.fr/art_pix/Stat_Annuaire_ministere-justice_sigles.pdf,,,,tsatribunalsupérieurdappel
5398,TSCA,Taxe spéciale sur les conventions d'assurance,Sénat,https://www.senat.fr/histoire/sigles.html,,,,tscataxespécialesurlesconventionsdassurance
5399,TSD,Titulaire sans droit à pension,DGAFP,https://www.fonction-publique.gouv.fr/files/files/statistiques/rapports_annuels/2016/G_Liste_des_sigles.pdf,,,,tsdtitulairesansdroitàpension
